Region name ,Local Authority Code,Local authority name,cx,cy,Year,Median House Price,Median House Earnings,Affordability Ratio
West Midlands,E07000239,Wyre Forest,1.289170214,51.21240819,2011,146250,20442,7.15
West Midlands,E08000025,Birmingham,0.396045524,51.40558903,2011,128500,24042,5.34
West Midlands,E08000026,Coventry,0.580573702,51.23479262,2011,122748,24986,4.91
West Midlands,E08000027,Dudley,0.171701145,51.27599765,2011,129000,23196,5.56
West Midlands,E08000028,Sandwell,0.995724342,51.054408,2011,110000,21882,5.03
West Midlands,E08000029,Solihull,0.812481002,51.34171891,2011,203875,28815,7.08
West Midlands,E08000030,Walsall,1.340396403,51.35426394,2011,125000,21652,5.77
West Midlands,E08000031,Wolverhampton,0.357090525,51.27296673,2011,114475,21553,5.31
East of England,E06000031,Peterborough,0.430918392,51.11408369,2011,131500,23788,5.53
East of England,E06000032,Luton,-2.221402157,53.77886155,2011,150000,24675,6.08
East of England,E06000033,Southend-on-Sea,-2.648161855,53.66120381,2011,180000,27487,6.55
East of England,E06000034,Thurrock,-2.922332455,53.784236,2011,172000,27383,6.28
East of England,E06000055,Bedford,-2.389563336,53.75887795,2011,184625,26714,6.91
East of England,E06000056,Central Bedfordshire,-2.714570992,54.06913539,2011,190000,28243,6.73
East of England,E07000008,Cambridge,-2.185645787,53.86547477,2011,255750,29434,8.69
East of England,E07000009,East Cambridgeshire,-2.697257226,53.81153827,2011,184950,28715,6.44
East of England,E07000010,Fenland,-2.445112004,53.90724193,2011,132000,23874,5.53
East of England,E07000011,Huntingdonshire,-2.266892572,53.69404607,2011,175000,29084,6.02
East of England,E07000012,South Cambridgeshire,-2.710691477,53.72807753,2011,237750,31353,7.58
East of England,E07000066,Basildon,-2.882483652,53.6095753,2011,180000,28395,6.34
East of England,E07000067,Braintree,-2.853666495,53.90293103,2011,184150,28114,6.55
East of England,E07000068,Brentwood,-1.221576853,52.57168276,2011,252950,37737,6.7
East of England,E07000069,Castle Point,-1.14633676,52.73704582,2011,191750,25636,7.48
East of England,E07000070,Chelmsford,-1.007699842,52.53951562,2011,219995,31198,7.05
East of England,E07000071,Colchester,-1.390600303,52.61663473,2011,175000,27089,6.46
East of England,E07000072,Epping Forest,-0.855997158,52.79672433,2011,280000,30677,9.13
East of England,E07000073,Harlow,-1.405140341,52.753195,2011,170000,24453,6.95
East of England,E07000074,Maldon,-1.093311627,52.58698967,2011,215000,33128,6.49
East of England,E07000075,Rochford,-0.0217859,52.97429147,2011,210000,29793,7.05
East of England,E07000076,Tendring,0.029920432,53.24995025,2011,153000,24575,6.23
East of England,E07000077,Uttlesford,-0.554931188,53.22472406,2011,278500,31159,8.94
East of England,E07000095,Broxbourne,-0.445942716,53.08121531,2011,224500,28861,7.78
East of England,E07000096,Dacorum,-0.031965865,52.79785002,2011,240000,30751,7.8
East of England,E07000098,Hertsmere,-0.51836719,52.8547449,2011,285500,28743,9.93
East of England,E07000099,North Hertfordshire,-0.477428025,53.39286308,2011,227500,32696,6.96
East of England,E07000102,Three Rivers,0.836890107,52.58811364,2011,299975,34141,8.79
East of England,E07000103,Watford,1.309592347,52.70135623,2011,214975,31700,6.78
East of England,E07000143,Breckland,1.661431393,52.64083725,2011,152000,22179,6.85
East of England,E07000144,Broadland,0.47064174,52.7271544,2011,167500,26445,6.33
East of England,E07000145,Great Yarmouth,1.169508909,52.85044968,2011,129950,22098,5.88
East of England,E07000146,King's Lynn and West Norfolk,1.279418606,52.6322924,2011,151250,23446,6.45
East of England,E07000147,North Norfolk,1.275850453,52.51448675,2011,173500,22256,7.8
East of England,E07000148,Norwich,-2.174315011,54.07988758,2011,139950,23667,5.91
East of England,E07000149,South Norfolk,-1.319320546,54.28734471,2011,175475,26768,6.56
East of England,E07000200,Babergh,-1.595746175,54.06710448,2011,190000,28547,6.66
East of England,E07000202,Ipswich,-1.934005521,54.36151461,2011,131250,23198,5.66
East of England,E07000203,Mid Suffolk,-0.85166028,54.21044451,2011,180000,25123,7.16
East of England,E07000240,St Albans,-0.635270931,54.36642403,2011,350000,37412,9.36
East of England,E07000241,Welwyn Hatfield,-1.135296661,53.7874786,2011,240000,30297,7.92
East of England,E07000242,East Hertfordshire,-1.258340202,53.09175983,2011,250000,31419,7.96
East of England,E07000243,Stevenage,-0.958783563,53.33290258,2011,167500,28854,5.81
East of England,E07000244,East Suffolk,-1.26201293,52.97566594,2011,172375,25752,6.69
East of England,E07000245,West Suffolk,-1.11934704,53.02855422,2011,170000,25024,6.79
